Distribution r(n); n < 10^4.

Obtained (r(n), total n) :
(0: 4257), (>0: 5742), (1: 4995), (2: 747).

Where the sum of 0 and even values is almost equal 
to that of odd values, as conjectured.

Notes:
a, b : number of solutions to each eqn.
m, q : m=(a mod b); q=(a / b) as rational number.

r(n)     n   a   b   m   q  core(n)
   0  2497 112  36   4  -1  2497
   0  2498  80  32  16  -1  2498
   0  2499  24  16   8  -1    51
   0  2500   2   2   0   1     1
   1  2501   0   0  -1  -1  2501
   1  2502   0   0  -1  -1   278
   1  2503   0   0  -1  -1  2503
   0  2504  72  40  32  -1   626
   0  2505 160  88  72  -1  2505
   0  2506  64  40  24  -1  2506
   0  2507 168  88  80  -1  2507
   0  2508  48  40   8  -1   627
   1  2509   0   0  -1  -1  2509
   1  2510   0   0  -1  -1  2510
   1  2511   0   0  -1  -1    31
   1  2512   0   0  -1  -1   157
   0  2513 128  48  32  -1  2513
   0  2514  80  44  36  -1  2514
   0  2515  72  40  32  -1  2515
   1  2516   0   0  -1  -1   629
   1  2517   0   0  -1  -1  2517
   1  2518   0   0  -1  -1  2518
   1  2519   0   0  -1  -1  2519
   1  2520   0   0  -1  -1    70
   0  2521 128  72  56  -1  2521
   0  2522  72  32   8  -1  2522
   0  2523   4   4   0   1     3
   1  2524   0   0  -1  -1   631
   1  2525   0   0  -1  -1   101
   1  2526   0   0  -1  -1  2526
   1  2527   0   0  -1  -1     7
   1  2528   0   0  -1  -1   158
   0  2529  80  44  36  -1   281
   2  2530  48  24   0   2  2530
   0  2531 204 116  88  -1  2531
   0  2532  80  28  24  -1   633
   1  2533   0   0  -1  -1  2533
   1  2534   0   0  -1  -1  2534
   1  2535   0   0  -1  -1    15
   0  2536  28  12   4  -1   634
   0  2537 240 132 108  -1  2537
   0  2538  16  16   0   1   282
   0  2539 132  60  12  -1  2539
   0  2540 120  56   8  -1   635
   1  2541   0   0  -1  -1    21
   1  2542   0   0  -1  -1  2542
   1  2543   0   0  -1  -1  2543
   1  2544   0   0  -1  -1   159
   0  2545  96  32   0   3  2545
   0  2546 128  60   8  -1  2546
   0  2547  36  12   0   3   283
   1  2548   0   0  -1  -1    13
   1  2549   0   0  -1  -1  2549
   1  2550   0   0  -1  -1   102
   1  2551   0   0  -1  -1  2551
   1  2552   0   0  -1  -1   638
   0  2553  96  40  16  -1  2553
   0  2554  76  44  32  -1  2554
   0  2555 144  64  16  -1  2555
   1  2556   0   0  -1  -1    71
   1  2557   0   0  -1  -1  2557
   1  2558   0   0  -1  -1  2558
   1  2559   0   0  -1  -1  2559
   0  2560   4   4   0   1    10
   0  2561 256 136 120  -1  2561
   0  2562  48  40   8  -1  2562
   0  2563  72  48  24  -1  2563
   0  2564 112  60  52  -1   641
   1  2565   0   0  -1  -1   285
   1  2566   0   0  -1  -1  2566
   1  2567   0   0  -1  -1  2567
   0  2568  32  20  12  -1   642
   2  2569 128  64   0   2  2569
   0  2570  88  56  32  -1  2570
   0  2571 168  88  80  -1  2571
   0  2572  36  12   0   3   643
   1  2573   0   0  -1  -1  2573
   1  2574   0   0  -1  -1   286
   1  2575   0   0  -1  -1   103
   2  2576  64  32   0   2   161
   0  2577  80  44  36  -1  2577
   0  2578  32  12   8  -1  2578
   0  2579 252 124   4  -1  2579
   1  2580   0   0  -1  -1   645
   1  2581   0   0  -1  -1  2581
   1  2582   0   0  -1  -1  2582
   1  2583   0   0  -1  -1   287
   1  2584   0   0  -1  -1   646
   0  2585 160  72  16  -1  2585
   0  2586 112  48  16  -1  2586
   0  2587  96  64  32  -1  2587
   1  2588   0   0  -1  -1   647
   1  2589   0   0  -1  -1  2589
   1  2590   0   0  -1  -1  2590
   1  2591   0   0  -1  -1  2591
   0  2592   2   2   0   1     2
   0  2593  96  56  40  -1  2593
   2  2594  88  44   0   2  2594
   0  2595 144  64  16  -1  2595
   0  2596  80  44  36  -1   649
   1  2597   0   0  -1  -1    53
   1  2598   0   0  -1  -1  2598
   1  2599   0   0  -1  -1  2599
   0  2600  12   4   0   3    26
   0  2601   2   2   0   1     1
   0  2602  52  20  12  -1  2602
   0  2603 240 112  16  -1  2603
   2  2604  96  48   0   2   651
   1  2605   0   0  -1  -1  2605
   1  2606   0   0  -1  -1  2606
   1  2607   0   0  -1  -1  2607
   0  2608  12  12   0   1   163
   0  2609 336 164   8  -1  2609
   0  2610  40  24  16  -1   290
   2  2611  96  48   0   2  2611
   1  2612   0   0  -1  -1   653
   1  2613   0   0  -1  -1  2613
   1  2614   0   0  -1  -1  2614
   1  2615   0   0  -1  -1  2615
   1  2616   0   0  -1  -1   654
   0  2617 128  56  16  -1  2617
   0  2618  80  48  32  -1  2618
   2  2619  48  24   0   2   291
   1  2620   0   0  -1  -1   655
   1  2621   0   0  -1  -1  2621
   1  2622   0   0  -1  -1  2622
   1  2623   0   0  -1  -1  2623
   2  2624  32  16   0   2    41
   0  2625  32   8   0   4   105
   0  2626  72  40  32  -1  2626
   0  2627 144  64  16  -1  2627
   0  2628  16  12   4  -1    73
   1  2629   0   0  -1  -1  2629
   1  2630   0   0  -1  -1  2630
   1  2631   0   0  -1  -1  2631
   2  2632  16   8   0   2   658
   0  2633 128  56  16  -1  2633
   0  2634  72  32   8  -1  2634
   0  2635 144  80  64  -1  2635
   0  2636 132  68  64  -1   659
   1  2637   0   0  -1  -1   293
   1  2638   0   0  -1  -1  2638
   1  2639   0   0  -1  -1  2639
   1  2640   0   0  -1  -1   165
   0  2641  80  44  36  -1  2641
   0  2642 104  56  48  -1  2642
   0  2643 120  56   8  -1  2643
   1  2644   0   0  -1  -1   661
   1  2645   0   0  -1  -1     5
   1  2646   0   0  -1  -1     6
   1  2647   0   0  -1  -1  2647
   1  2648   0   0  -1  -1   662
   0  2649 176 100  76  -1  2649
   0  2650  12   4   0   3   106
   0  2651 312 144  24  -1  2651
   1  2652   0   0  -1  -1   663
   1  2653   0   0  -1  -1  2653
   1  2654   0   0  -1  -1  2654
   1  2655   0   0  -1  -1   295
   1  2656   0   0  -1  -1   166
   0  2657 128  80  48  -1  2657
   0  2658  48  20   8  -1  2658
   0  2659 156  76   4  -1  2659
   0  2660  96  56  40  -1   665
   1  2661   0   0  -1  -1  2661
   1  2662   0   0  -1  -1    22
   1  2663   0   0  -1  -1  2663
   0  2664  20  12   8  -1    74
   0  2665 128  80  48  -1  2665
   0  2666 136  56  24  -1  2666
   0  2667  96  32   0   3  2667
   0  2668  48  16   0   3   667
   1  2669   0   0  -1  -1  2669
   1  2670   0   0  -1  -1  2670
   1  2671   0   0  -1  -1  2671
   1  2672   0   0  -1  -1   167
   0  2673  16  12   4  -1    33
   0  2674  64  40  24  -1  2674
   0  2675  36  12   0   3   107
   1  2676   0   0  -1  -1   669
   1  2677   0   0  -1  -1  2677
   1  2678   0   0  -1  -1  2678
   1  2679   0   0  -1  -1  2679
   1  2680   0   0  -1  -1   670
   0  2681 288 136  16  -1  2681
   0  2682  12  12   0   1   298
   0  2683  60  28   4  -1  2683
   1  2684   0   0  -1  -1   671
   1  2685   0   0  -1  -1  2685
   1  2686   0   0  -1  -1  2686
   1  2687   0   0  -1  -1  2687
   0  2688   8   0  -1  -1    42
   0  2689  96  56  40  -1  2689
   0  2690 120  64  56  -1  2690
   2  2691  96  48   0   2   299
   0  2692  48  12   0   4   673
   1  2693   0   0  -1  -1  2693
   1  2694   0   0  -1  -1  2694
   1  2695   0   0  -1  -1    55
   2  2696  48  24   0   2   674
   0  2697  96  56  40  -1  2697
   2  2698  48  24   0   2  2698
   0  2699 180  92  88  -1  2699
   0  2700   4   4   0   1     3
   1  2701   0   0  -1  -1  2701
   1  2702   0   0  -1  -1  2702
   1  2703   0   0  -1  -1  2703
   0  2704   2   2   0   1     1
   0  2705 288 160 128  -1  2705
   2  2706  64  32   0   2  2706
   0  2707  84  68  16  -1  2707
   1  2708   0   0  -1  -1   677
   1  2709   0   0  -1  -1   301
   1  2710   0   0  -1  -1  2710
   1  2711   0   0  -1  -1  2711
   1  2712   0   0  -1  -1   678
   0  2713  96  32   0   3  2713
   0  2714 160  88  72  -1  2714
   0  2715  96  64  32  -1  2715
   1  2716   0   0  -1  -1   679
   1  2717   0   0  -1  -1  2717
   1  2718   0   0  -1  -1   302
   1  2719   0   0  -1  -1  2719
   0  2720  24  16   8  -1   170
   0  2721 208 108 100  -1  2721
   0  2722  40  28  12  -1  2722
   0  2723 144  80  64  -1  2723
   0  2724  80  44  36  -1   681
   1  2725   0   0  -1  -1   109
   1  2726   0   0  -1  -1  2726
   1  2727   0   0  -1  -1   303
   0  2728  24   8   0   3   682
   0  2729 320 152  16  -1  2729
   2  2730  64  32   0   2  2730
   0  2731 132  68  64  -1  2731
   0  2732  60  28   4  -1   683
   1  2733   0   0  -1  -1  2733
   1  2734   0   0  -1  -1  2734
   1  2735   0   0  -1  -1  2735
   0  2736  12   4   0   3    19
   0  2737  64  16   0   4  2737
   0  2738   2   2   0   1     2
   0  2739 192 104  88  -1  2739
   1  2740   0   0  -1  -1   685
   1  2741   0   0  -1  -1  2741
   1  2742   0   0  -1  -1  2742
   1  2743   0   0  -1  -1  2743
   1  2744   0   0  -1  -1    14
   0  2745  64  24  16  -1   305
   0  2746  76  28  20  -1  2746
   0  2747 216 120  96  -1  2747
   1  2748   0   0  -1  -1   687
   1  2749   0   0  -1  -1  2749
   1  2750   0   0  -1  -1   110
   1  2751   0   0  -1  -1  2751
   0  2752  12  12   0   1    43
   0  2753 112  60  52  -1  2753
   2  2754   8   4   0   2    34
   0  2755  96  32   0   3  2755
   2  2756 160  80   0   2   689
   1  2757   0   0  -1  -1  2757
   1  2758   0   0  -1  -1  2758
   1  2759   0   0  -1  -1  2759
   0  2760  32   8   0   4   690
   0  2761 112  52   8  -1  2761
   0  2762  52  20  12  -1  2762
   0  2763  36  28   8  -1   307
   0  2764  60  28   4  -1   691
   1  2765   0   0  -1  -1  2765
   1  2766   0   0  -1  -1  2766
   1  2767   0   0  -1  -1  2767
   1  2768   0   0  -1  -1   173
   0  2769 160  88  72  -1  2769
   0  2770  72  48  24  -1  2770
   0  2771 312 160 152  -1  2771
   1  2772   0   0  -1  -1    77
   1  2773   0   0  -1  -1  2773
   1  2774   0   0  -1  -1  2774
   1  2775   0   0  -1  -1   111
   1  2776   0   0  -1  -1   694
   2  2777 160  80   0   2  2777
   0  2778  72  24   0   3  2778
   0  2779 168  88  80  -1  2779
   1  2780   0   0  -1  -1   695
   1  2781   0   0  -1  -1   309
   1  2782   0   0  -1  -1  2782
   1  2783   0   0  -1  -1    23
   1  2784   0   0  -1  -1   174
   0  2785 128  72  56  -1  2785
   0  2786 144  64  16  -1  2786
   0  2787  72  48  24  -1  2787
   0  2788  32  24   8  -1   697
   1  2789   0   0  -1  -1  2789
   1  2790   0   0  -1  -1   310
   1  2791   0   0  -1  -1  2791
   0  2792  52  36  16  -1   698
   0  2793  16  12   4  -1    57
   0  2794  48  16   0   3  2794
   0  2795 144  80  64  -1  2795
   0  2796 120  48  24  -1   699
   1  2797   0   0  -1  -1  2797
   1  2798   0   0  -1  -1  2798
   1  2799   0   0  -1  -1   311
   1  2800   0   0  -1  -1     7
   0  2801 240 124 116  -1  2801
   0  2802  48  20   8  -1  2802
   0  2803 108  44  20  -1  2803
   1  2804   0   0  -1  -1   701
   1  2805   0   0  -1  -1  2805
   1  2806   0   0  -1  -1  2806
   1  2807   0   0  -1  -1  2807
   1  2808   0   0  -1  -1    78
   0  2809   2   2   0   1     1
   2  2810  80  40   0   2  2810
   0  2811 192  88  16  -1  2811
   1  2812   0   0  -1  -1   703
   1  2813   0   0  -1  -1  2813
   1  2814   0   0  -1  -1  2814
   1  2815   0   0  -1  -1  2815
   0  2816  12   4   0   3    11
   2  2817  32  16   0   2   313
   2  2818  40  20   0   2  2818
   0  2819 252 116  20  -1  2819
   0  2820  96  40  16  -1   705
   1  2821   0   0  -1  -1  2821
   1  2822   0   0  -1  -1  2822
   1  2823   0   0  -1  -1  2823
   0  2824  48  32  16  -1   706
   0  2825  32  24   8  -1   113
   0  2826  52  28  24  -1   314
   0  2827  96  64  32  -1  2827
   0  2828  72  40  32  -1   707
   1  2829   0   0  -1  -1  2829
   1  2830   0   0  -1  -1  2830
   1  2831   0   0  -1  -1  2831
   0  2832  16  12   4  -1   177
   2  2833 128  64   0   2  2833
   0  2834 168  80   8  -1  2834
   0  2835  24   8   0   3    35
   1  2836   0   0  -1  -1   709
   1  2837   0   0  -1  -1  2837
   1  2838   0   0  -1  -1  2838
   1  2839   0   0  -1  -1  2839
   1  2840   0   0  -1  -1   710
   0  2841 176  84   8  -1  2841
   0  2842   4   4   0   1    58
   0  2843 180  84  12  -1  2843
   1  2844   0   0  -1  -1    79
   1  2845   0   0  -1  -1  2845
   1  2846   0   0  -1  -1  2846
   1  2847   0   0  -1  -1  2847
   0  2848  16   4   0   4   178
   2  2849 256 128   0   2  2849
   0  2850  16  12   4  -1   114
   0  2851 132  68  64  -1  2851
   0  2852  96  40  16  -1   713
   1  2853   0   0  -1  -1   317
   1  2854   0   0  -1  -1  2854
   1  2855   0   0  -1  -1  2855
   0  2856  48  32  16  -1   714
   0  2857  80  60  20  -1  2857
   0  2858  76  36   4  -1  2858
   0  2859 216 104   8  -1  2859
   0  2860  48  16   0   3   715
   1  2861   0   0  -1  -1  2861
   1  2862   0   0  -1  -1   318
   1  2863   0   0  -1  -1  2863
   0  2864  60  28   4  -1   179
   2  2865 128  64   0   2  2865
   0  2866  80  44  36  -1  2866
   0  2867 144  64  16  -1  2867
   1  2868   0   0  -1  -1   717
   1  2869   0   0  -1  -1  2869
   1  2870   0   0  -1  -1  2870
   1  2871   0   0  -1  -1   319
   1  2872   0   0  -1  -1   718
   0  2873  16   4   0   4    17
   0  2874  80  48  32  -1  2874
   0  2875  24   8   0   3   115
   1  2876   0   0  -1  -1   719
   1  2877   0   0  -1  -1  2877
   1  2878   0   0  -1  -1  2878
   1  2879   0   0  -1  -1  2879
   1  2880   0   0  -1  -1     5
   0  2881 112  52   8  -1  2881
   0  2882 128  60   8  -1  2882
   0  2883   4   4   0   1     3
   2  2884  64  32   0   2   721
   1  2885   0   0  -1  -1  2885
   1  2886   0   0  -1  -1  2886
   1  2887   0   0  -1  -1  2887
   0  2888   2   2   0   1     2
   0  2889  80  44  36  -1   321
   0  2890   4   4   0   1    10
   0  2891  36  20  16  -1    59
   2  2892  48  24   0   2   723
   1  2893   0   0  -1  -1  2893
   1  2894   0   0  -1  -1  2894
   1  2895   0   0  -1  -1  2895
   1  2896   0   0  -1  -1   181
   0  2897 144  68   8  -1  2897
   0  2898  16   0  -1  -1   322
   0  2899 120  56   8  -1  2899
   1  2900   0   0  -1  -1    29
   1  2901   0   0  -1  -1  2901
   1  2902   0   0  -1  -1  2902
   1  2903   0   0  -1  -1  2903
   1  2904   0   0  -1  -1     6
   0  2905  96  56  40  -1  2905
   0  2906 132  68  64  -1  2906
   2  2907  48  24   0   2   323
   1  2908   0   0  -1  -1   727
   1  2909   0   0  -1  -1  2909
   1  2910   0   0  -1  -1  2910
   1  2911   0   0  -1  -1  2911
   1  2912   0   0  -1  -1   182
   0  2913 112  68  44  -1  2913
   2  2914  48  24   0   2  2914
   0  2915 288 128  32  -1  2915
   0  2916   2   2   0   1     1
   1  2917   0   0  -1  -1  2917
   1  2918   0   0  -1  -1  2918
   1  2919   0   0  -1  -1  2919
   0  2920  24  16   8  -1   730
   0  2921 256 144 112  -1  2921
   0  2922  88  32  24  -1  2922
   0  2923  72  40  32  -1  2923
   2  2924 144  72   0   2   731
   1  2925   0   0  -1  -1    13
   1  2926   0   0  -1  -1  2926
   1  2927   0   0  -1  -1  2927
   1  2928   0   0  -1  -1   183
   2  2929 160  80   0   2  2929
   0  2930  56  32  24  -1  2930
   0  2931 168  96  72  -1  2931
   1  2932   0   0  -1  -1   733
   1  2933   0   0  -1  -1  2933
   1  2934   0   0  -1  -1   326
   1  2935   0   0  -1  -1  2935
   1  2936   0   0  -1  -1   734
   0  2937  96  56  40  -1  2937
   0  2938  48  32  16  -1  2938
   0  2939 348 172   4  -1  2939
   1  2940   0   0  -1  -1    15
   1  2941   0   0  -1  -1  2941
   1  2942   0   0  -1  -1  2942
   1  2943   0   0  -1  -1   327
   1  2944   0   0  -1  -1    46
   2  2945 256 128   0   2  2945
   0  2946  64  28   8  -1  2946
   0  2947  96  32   0   3  2947
   0  2948  80  28  24  -1   737
   1  2949   0   0  -1  -1  2949
   1  2950   0   0  -1  -1   118
   1  2951   0   0  -1  -1  2951
   0  2952   8   8   0   1    82
   2  2953  96  48   0   2  2953
   0  2954 160  88  72  -1  2954
   0  2955 144  80  64  -1  2955
   0  2956  60  28   4  -1   739
   1  2957   0   0  -1  -1  2957
   1  2958   0   0  -1  -1  2958
   1  2959   0   0  -1  -1  2959
   0  2960  64  40  24  -1   185
   0  2961  96  56  40  -1   329
   0  2962  32  12   8  -1  2962
   0  2963 156  68  20  -1  2963
   1  2964   0   0  -1  -1   741
   1  2965   0   0  -1  -1  2965
   1  2966   0   0  -1  -1  2966
   1  2967   0   0  -1  -1  2967
   1  2968   0   0  -1  -1   742
   0  2969 208 108 100  -1  2969
   2  2970  16   8   0   2   330
   0  2971 132  60  12  -1  2971
   1  2972   0   0  -1  -1   743
   1  2973   0   0  -1  -1  2973
   1  2974   0   0  -1  -1  2974
   1  2975   0   0  -1  -1   119
   0  2976  24   8   0   3   186
   0  2977  96  32   0   3  2977
   0  2978 120  52  16  -1  2978
   0  2979  36  12   0   3   331
   0  2980  64  24  16  -1   745
   1  2981   0   0  -1  -1  2981
   1  2982   0   0  -1  -1  2982
   1  2983   0   0  -1  -1  2983
   0  2984  52  28  24  -1   746
   0  2985 128  48  32  -1  2985
   0  2986  60  28   4  -1  2986
   0  2987 240 128 112  -1  2987
   0  2988  36  20  16  -1    83
   1  2989   0   0  -1  -1    61
   1  2990   0   0  -1  -1  2990
   1  2991   0   0  -1  -1  2991
   0  2992  24  16   8  -1   187
   0  2993 192  80  32  -1  2993
   0  2994 128  60   8  -1  2994
   2  2995  96  48   0   2  2995
   1  2996   0   0  -1  -1   749
   1  2997   0   0  -1  -1    37
   1  2998   0   0  -1  -1  2998
   1  2999   0   0  -1  -1  2999
   1  3000   0   0  -1  -1    30
   2  3001 160  80   0   2  3001
   0  3002 112  48  16  -1  3002
   2  3003  96  48   0   2  3003
   1  3004   0   0  -1  -1   751
   1  3005   0   0  -1  -1  3005
   1  3006   0   0  -1  -1   334
   1  3007   0   0  -1  -1  3007
   1  3008   0   0  -1  -1    47
   0  3009 224 120 104  -1  3009
   0  3010  64  24  16  -1  3010
   0  3011 252 124   4  -1  3011
   0  3012  48  20   8  -1   753
   1  3013   0   0  -1  -1  3013
   1  3014   0   0  -1  -1  3014
   1  3015   0   0  -1  -1   335
   0  3016  40  16   8  -1   754
   2  3017 192  96   0   2  3017
   2  3018  48  24   0   2  3018
   0  3019  84  44  40  -1  3019
   0  3020 144  80  64  -1   755
   1  3021   0   0  -1  -1  3021
   1  3022   0   0  -1  -1  3022
   1  3023   0   0  -1  -1  3023
   1  3024   0   0  -1  -1    21
   0  3025   2   2   0   1     1
   2  3026  96  48   0   2  3026
   0  3027 144  88  56  -1  3027
   1  3028   0   0  -1  -1   757
   1  3029   0   0  -1  -1  3029
   1  3030   0   0  -1  -1  3030
   1  3031   0   0  -1  -1  3031
   1  3032   0   0  -1  -1   758
   0  3033  32  24   8  -1   337
   0  3034  80  32  16  -1  3034
   0  3035 216 104   8  -1  3035
   1  3036   0   0  -1  -1   759
   1  3037   0   0  -1  -1  3037
   1  3038   0   0  -1  -1    62
   1  3039   0   0  -1  -1  3039
   1  3040   0   0  -1  -1   190
   0  3041 336 164   8  -1  3041
   0  3042   2   2   0   1     2
   0  3043 144  56  32  -1  3043
   2  3044 160  80   0   2   761
   1  3045   0   0  -1  -1  3045
   1  3046   0   0  -1  -1  3046
   1  3047   0   0  -1  -1  3047
   0  3048  24   8   0   3   762
   0  3049 112  52   8  -1  3049
   0  3050  20  12   8  -1   122
   0  3051  72  40  32  -1   339
   0  3052  48  32  16  -1   763
   1  3053   0   0  -1  -1  3053
   1  3054   0   0  -1  -1  3054
   1  3055   0   0  -1  -1  3055
   1  3056   0   0  -1  -1   191
   0  3057 112  36   4  -1  3057
   0  3058  64  44  20  -1  3058
   0  3059 288 128  32  -1  3059
   1  3060   0   0  -1  -1    85
   1  3061   0   0  -1  -1  3061
   1  3062   0   0  -1  -1  3062
   1  3063   0   0  -1  -1  3063
   1  3064   0   0  -1  -1   766
   0  3065 288 128  32  -1  3065
   0  3066  80  32  16  -1  3066
   0  3067  84  44  40  -1  3067
   1  3068   0   0  -1  -1   767
   1  3069   0   0  -1  -1   341
   1  3070   0   0  -1  -1  3070
   1  3071   0   0  -1  -1  3071
   0  3072   4   4   0   1     3
   0  3073  96  40  16  -1  3073
   0  3074 104  48   8  -1  3074
   0  3075  24   8   0   3   123
   0  3076  80  36   8  -1   769
   1  3077   0   0  -1  -1  3077
   1  3078   0   0  -1  -1    38
   1  3079   0   0  -1  -1  3079
   0  3080  64  24  16  -1   770
   2  3081 192  96   0   2  3081
   0  3082  40  16   8  -1  3082
   0  3083 156  84  72  -1  3083
   0  3084  72  24   0   3   771
   1  3085   0   0  -1  -1  3085
   1  3086   0   0  -1  -1  3086
   1  3087   0   0  -1  -1     7
   0  3088  16   4   0   4   193
   0  3089 160  72  16  -1  3089
   2  3090 112  56   0   2  3090
   0  3091 120  48  24  -1  3091
   1  3092   0   0  -1  -1   773
   1  3093   0   0  -1  -1  3093
   1  3094   0   0  -1  -1  3094
   1  3095   0   0  -1  -1  3095
   1  3096   0   0  -1  -1    86
   0  3097 112  52   8  -1  3097
   0  3098 108  68  40  -1  3098
   2  3099 240 120   0   2  3099
   1  3100   0   0  -1  -1    31
   1  3101   0   0  -1  -1  3101
   1  3102   0   0  -1  -1  3102
   1  3103   0   0  -1  -1  3103
   2  3104  40  20   0   2   194
   0  3105  32  24   8  -1   345
   0  3106  64  24  16  -1  3106
   0  3107 216 120  96  -1  3107
   2  3108  64  32   0   2   777
   1  3109   0   0  -1  -1  3109
   1  3110   0   0  -1  -1  3110
   1  3111   0   0  -1  -1  3111
   0  3112  28  20   8  -1   778
   0  3113 176  84   8  -1  3113
   0  3114  20  12   8  -1   346
   0  3115 144  64  16  -1  3115
   0  3116 120  56   8  -1   779
   1  3117   0   0  -1  -1  3117
   1  3118   0   0  -1  -1  3118
   1  3119   0   0  -1  -1  3119
   0  3120  48  16   0   3   195
   0  3121 160  88  72  -1  3121
   2  3122  64  32   0   2  3122
   0  3123  60  28   4  -1   347
   1  3124   0   0  -1  -1   781
   1  3125   0   0  -1  -1     5
   1  3126   0   0  -1  -1  3126
   1  3127   0   0  -1  -1  3127
   1  3128   0   0  -1  -1   782
   2  3129 192  96   0   2  3129
   0  3130  56  40  16  -1  3130
   0  3131 240 112  16  -1  3131
   1  3132   0   0  -1  -1    87
   1  3133   0   0  -1  -1  3133
   1  3134   0   0  -1  -1  3134
   1  3135   0   0  -1  -1  3135
   0  3136   2   2   0   1     1
   0  3137 224 120 104  -1  3137
   0  3138  48  28  20  -1  3138
   0  3139 120  64  56  -1  3139
   0  3140  64  40  24  -1   785
   1  3141   0   0  -1  -1   349
   1  3142   0   0  -1  -1  3142
   1  3143   0   0  -1  -1  3143
   0  3144  32  20  12  -1   786
   2  3145 128  64   0   2  3145
   0  3146  12   4   0   3    26
   0  3147 120  48  24  -1  3147
   0  3148  60  28   4  -1   787
   1  3149   0   0  -1  -1  3149
   1  3150   0   0  -1  -1    14
   1  3151   0   0  -1  -1  3151
   1  3152   0   0  -1  -1   197
   0  3153 144  76  68  -1  3153
   0  3154  64  36  28  -1  3154
   0  3155 240 112  16  -1  3155
   1  3156   0   0  -1  -1   789
   1  3157   0   0  -1  -1  3157
   1  3158   0   0  -1  -1  3158
   1  3159   0   0  -1  -1    39
   1  3160   0   0  -1  -1   790
   2  3161 224 112   0   2  3161
   0  3162  80  32  16  -1  3162
   0  3163 108  52   4  -1  3163
   1  3164   0   0  -1  -1   791
   1  3165   0   0  -1  -1  3165
   1  3166   0   0  -1  -1  3166
   1  3167   0   0  -1  -1  3167
   1  3168   0   0  -1  -1    22
   0  3169 144  84  60  -1  3169
   0  3170 136  72  64  -1  3170
   2  3171 192  96   0   2  3171
   2  3172  32  16   0   2   793
   1  3173   0   0  -1  -1  3173
   1  3174   0   0  -1  -1     6
   1  3175   0   0  -1  -1   127
   0  3176  84  36  12  -1   794
   2  3177  64  32   0   2   353
   0  3178  40  16   8  -1  3178
   0  3179  12   4   0   3    11
   0  3180  48  16   0   3   795
   1  3181   0   0  -1  -1  3181
   1  3182   0   0  -1  -1  3182
   1  3183   0   0  -1  -1  3183
   1  3184   0   0  -1  -1   199
   2  3185  32  16   0   2    65
   0  3186  32  20  12  -1   354
   0  3187  84  36  12  -1  3187
   1  3188   0   0  -1  -1   797
   1  3189   0   0  -1  -1  3189
   1  3190   0   0  -1  -1  3190
   1  3191   0   0  -1  -1  3191
   1  3192   0   0  -1  -1   798
   0  3193  64  16   0   4  3193
   0  3194 148  68  12  -1  3194
   0  3195  48  32  16  -1   355
   1  3196   0   0  -1  -1   799
   1  3197   0   0  -1  -1  3197
   1  3198   0   0  -1  -1  3198
   1  3199   0   0  -1  -1  3199
   0  3200   2   2   0   1     2
   0  3201 128  80  48  -1  3201
   0  3202  48  40   8  -1  3202
   0  3203 132  60  12  -1  3203
   0  3204  48  20   8  -1    89
   1  3205   0   0  -1  -1  3205
   1  3206   0   0  -1  -1  3206
   1  3207   0   0  -1  -1  3207
   0  3208  24  20   4  -1   802
   0  3209 320 152  16  -1  3209
   0  3210  64  24  16  -1  3210
   0  3211  12   4   0   3    19
   0  3212 120  64  56  -1   803
   1  3213   0   0  -1  -1   357
   1  3214   0   0  -1  -1  3214
   1  3215   0   0  -1  -1  3215
   0  3216  48  20   8  -1   201
   0  3217  64  48  16  -1  3217
   0  3218 112  52   8  -1  3218
   0  3219 240 112  16  -1  3219
   1  3220   0   0  -1  -1   805
   1  3221   0   0  -1  -1  3221
   1  3222   0   0  -1  -1   358
   1  3223   0   0  -1  -1  3223
   1  3224   0   0  -1  -1   806
   0  3225  48  20   8  -1   129
   0  3226  76  44  32  -1  3226
   0  3227 168  88  80  -1  3227
   1  3228   0   0  -1  -1   807
   1  3229   0   0  -1  -1  3229
   1  3230   0   0  -1  -1  3230
   1  3231   0   0  -1  -1   359
   0  3232  12   4   0   3   202
   0  3233 224  96  32  -1  3233
   0  3234  16   4   0   4    66
   0  3235  72  40  32  -1  3235
   0  3236 128  72  56  -1   809
   1  3237   0   0  -1  -1  3237
   1  3238   0   0  -1  -1  3238
   1  3239   0   0  -1  -1  3239
   0  3240   4   4   0   1    10
   0  3241 160  88  72  -1  3241
   0  3242  84  36  12  -1  3242
   0  3243  96  64  32  -1  3243
   0  3244  84  44  40  -1   811
   1  3245   0   0  -1  -1  3245
   1  3246   0   0  -1  -1  3246
   1  3247   0   0  -1  -1  3247
   0  3248  48  32  16  -1   203
   0  3249   2   2   0   1     1
   0  3250   8   8   0   1   130
   0  3251 372 196 176  -1  3251
   1  3252   0   0  -1  -1   813
   1  3253   0   0  -1  -1  3253
   1  3254   0   0  -1  -1  3254
   1  3255   0   0  -1  -1  3255
   1  3256   0   0  -1  -1   814
   0  3257 144  60  24  -1  3257
   0  3258  36  20  16  -1   362
   0  3259 108  68  40  -1  3259
   1  3260   0   0  -1  -1   815
   1  3261   0   0  -1  -1  3261
   1  3262   0   0  -1  -1  3262
   1  3263   0   0  -1  -1  3263
   0  3264  24  16   8  -1    51
   2  3265  96  48   0   2  3265
   0  3266 144  64  16  -1  3266
   0  3267   4   4   0   1     3
