Distribution r(n); n < 10^4.

Obtained (r(n), total n) :
(0: 4257), (>0: 5742), (1: 4995), (2: 747).

Where the sum of 0 and even values is almost equal 
to that of odd values, as conjectured.

Notes:
a, b : number of solutions to each eqn.
m, q : m=(a mod b); q=(a / b) as rational number.

r(n)     n   a   b   m   q  core(n)
   1   238   0   0  -1  -1   238
   1   239   0   0  -1  -1   239
   1   240   0   0  -1  -1    15
   0   241  48  28  20  -1   241
   0   242   2   2   0   1     2
   0   243   4   4   0   1     3
   1   244   0   0  -1  -1    61
   1   245   0   0  -1  -1     5
   1   246   0   0  -1  -1   246
   1   247   0   0  -1  -1   247
   1   248   0   0  -1  -1    62
   0   249  48  20   8  -1   249
   0   250   4   4   0   1    10
   0   251  84  36  12  -1   251
   1   252   0   0  -1  -1     7
   1   253   0   0  -1  -1   253
   1   254   0   0  -1  -1   254
   1   255   0   0  -1  -1   255
   0   256   2   2   0   1     1
   2   257  64  32   0   2   257
   0   258  16  12   4  -1   258
   0   259  48  16   0   3   259
   2   260  32  16   0   2    65
   1   261   0   0  -1  -1    29
   1   262   0   0  -1  -1   262
   1   263   0   0  -1  -1   263
   0   264  16   4   0   4    66
   2   265  32  16   0   2   265
   0   266  40  16   8  -1   266
   0   267  24  16   8  -1   267
   0   268  12   4   0   3    67
   1   269   0   0  -1  -1   269
   1   270   0   0  -1  -1    30
   1   271   0   0  -1  -1   271
   0   272  16   4   0   4    17
   0   273  32   8   0   4   273
   0   274  24   8   0   3   274
   0   275  12   4   0   3    11
   1   276   0   0  -1  -1    69
   1   277   0   0  -1  -1   277
   1   278   0   0  -1  -1   278
   1   279   0   0  -1  -1    31
   1   280   0   0  -1  -1    70
   0   281  80  44  36  -1   281
   0   282  16  16   0   1   282
   0   283  36  12   0   3   283
   1   284   0   0  -1  -1    71
   1   285   0   0  -1  -1   285
   1   286   0   0  -1  -1   286
   1   287   0   0  -1  -1   287
   0   288   2   2   0   1     2
   0   289   2   2   0   1     1
   0   290  40  24  16  -1   290
   2   291  48  24   0   2   291
   0   292  16  12   4  -1    73
   1   293   0   0  -1  -1   293
   1   294   0   0  -1  -1     6
   1   295   0   0  -1  -1   295
   0   296  20  12   8  -1    74
   0   297  16  12   4  -1    33
   0   298  12  12   0   1   298
   2   299  96  48   0   2   299
   0   300   4   4   0   1     3
   1   301   0   0  -1  -1   301
   1   302   0   0  -1  -1   302
   1   303   0   0  -1  -1   303
   0   304  12   4   0   3    19
   0   305  64  24  16  -1   305
   2   306   8   4   0   2    34
   0   307  36  28   8  -1   307
   1   308   0   0  -1  -1    77
   1   309   0   0  -1  -1   309
   1   310   0   0  -1  -1   310
   1   311   0   0  -1  -1   311
   1   312   0   0  -1  -1    78
   2   313  32  16   0   2   313
   0   314  52  28  24  -1   314
   0   315  24   8   0   3    35
   1   316   0   0  -1  -1    79
   1   317   0   0  -1  -1   317
   1   318   0   0  -1  -1   318
   1   319   0   0  -1  -1   319
   1   320   0   0  -1  -1     5
   0   321  80  44  36  -1   321
   0   322  16   0  -1  -1   322
   2   323  48  24   0   2   323
   0   324   2   2   0   1     1
   1   325   0   0  -1  -1    13
   1   326   0   0  -1  -1   326
   1   327   0   0  -1  -1   327
   0   328   8   8   0   1    82
   0   329  96  56  40  -1   329
   2   330  16   8   0   2   330
   0   331  36  12   0   3   331
   0   332  36  20  16  -1    83
   1   333   0   0  -1  -1    37
   1   334   0   0  -1  -1   334
   1   335   0   0  -1  -1   335
   1   336   0   0  -1  -1    21
   0   337  32  24   8  -1   337
   0   338   2   2   0   1     2
   0   339  72  40  32  -1   339
   1   340   0   0  -1  -1    85
   1   341   0   0  -1  -1   341
   1   342   0   0  -1  -1    38
   1   343   0   0  -1  -1     7
   1   344   0   0  -1  -1    86
   0   345  32  24   8  -1   345
   0   346  20  12   8  -1   346
   0   347  60  28   4  -1   347
   1   348   0   0  -1  -1    87
   1   349   0   0  -1  -1   349
   1   350   0   0  -1  -1    14
   1   351   0   0  -1  -1    39
   1   352   0   0  -1  -1    22
   2   353  64  32   0   2   353
   0   354  32  20  12  -1   354
   0   355  48  32  16  -1   355
   0   356  48  20   8  -1    89
   1   357   0   0  -1  -1   357
   1   358   0   0  -1  -1   358
   1   359   0   0  -1  -1   359
   0   360   4   4   0   1    10
   0   361   2   2   0   1     1
   0   362  36  20  16  -1   362
   0   363   4   4   0   1     3
   0   364  24   8   0   3    91
   1   365   0   0  -1  -1   365
   1   366   0   0  -1  -1   366
   1   367   0   0  -1  -1   367
   1   368   0   0  -1  -1    23
   2   369  32  16   0   2    41
   0   370  24  16   8  -1   370
   2   371  96  48   0   2   371
   1   372   0   0  -1  -1    93
   1   373   0   0  -1  -1   373
   1   374   0   0  -1  -1   374
   1   375   0   0  -1  -1    15
   1   376   0   0  -1  -1    94
   0   377  64  24  16  -1   377
   0   378   8   0  -1  -1    42
   0   379  36  20  16  -1   379
   1   380   0   0  -1  -1    95
   1   381   0   0  -1  -1   381
   1   382   0   0  -1  -1   382
   1   383   0   0  -1  -1   383
   1   384   0   0  -1  -1     6
   0   385  32  24   8  -1   385
   2   386  40  20   0   2   386
   0   387  12  12   0   1    43
   0   388  16   4   0   4    97
   1   389   0   0  -1  -1   389
   1   390   0   0  -1  -1   390
   1   391   0   0  -1  -1   391
   0   392   2   2   0   1     2
   0   393  48  20   8  -1   393
   0   394  20   4   0   5   394
   2   395  96  48   0   2   395
   0   396  12   4   0   3    11
   1   397   0   0  -1  -1   397
   1   398   0   0  -1  -1   398
   1   399   0   0  -1  -1   399
   0   400   2   2   0   1     1
   0   401  80  36   8  -1   401
   0   402  32  20  12  -1   402
   0   403  24   8   0   3   403
   1   404   0   0  -1  -1   101
   1   405   0   0  -1  -1     5
   1   406   0   0  -1  -1   406
   1   407   0   0  -1  -1   407
   1   408   0   0  -1  -1   102
   0   409  64  24  16  -1   409
   2   410  32  16   0   2   410
   0   411  72  40  32  -1   411
   1   412   0   0  -1  -1   103
   1   413   0   0  -1  -1   413
   1   414   0   0  -1  -1    46
   1   415   0   0  -1  -1   415
   0   416  12   4   0   3    26
   0   417  48  36  12  -1   417
   0   418  16   4   0   4   418
   0   419 108  52   4  -1   419
   0   420  32   8   0   4   105
   1   421   0   0  -1  -1   421
   1   422   0   0  -1  -1   422
   1   423   0   0  -1  -1    47
   0   424  12   4   0   3   106
   0   425  16   4   0   4    17
   2   426  48  24   0   2   426
   0   427  24   8   0   3   427
   0   428  36  12   0   3   107
   1   429   0   0  -1  -1   429
   1   430   0   0  -1  -1   430
   1   431   0   0  -1  -1   431
   0   432   4   4   0   1     3
   0   433  48  12   0   4   433
   2   434  48  24   0   2   434
   0   435  48  16   0   3   435
   1   436   0   0  -1  -1   109
   1   437   0   0  -1  -1   437
   1   438   0   0  -1  -1   438
   1   439   0   0  -1  -1   439
   1   440   0   0  -1  -1   110
   0   441   2   2   0   1     1
   2   442  16   8   0   2   442
   0   443  60  20   0   3   443
   1   444   0   0  -1  -1   111
   1   445   0   0  -1  -1   445
   1   446   0   0  -1  -1   446
   1   447   0   0  -1  -1   447
   1   448   0   0  -1  -1     7
   0   449  80  36   8  -1   449
   0   450   2   2   0   1     2
   0   451  72  40  32  -1   451
