
C[n] curves with some integral point with negative x-coordinate. 
The dual point is attached:

     P(x=-a,y=+b) <-> P( (n^2)/a, ((n^2)*b)/(a^2) )


     n                   x                   y
   550            27500/49          907500/343

   552                 -23                2645
   552               13248             1523520

   561                 -17                2312
   561               18513             2517768
   561                -272                8092
   561            18513/16          2203047/64
   561                -528                4356
   561             9537/16           314721/64

   580                -400                8400
   580                 841               17661
   580                -576                1632
   580            21025/36          357425/216

   582                -507                6435
   582          112908/169       18629820/2197

   585                -144                6804
   585            38025/16          7186725/64
   585                -225                8100
   585                1521               54756
   585                -260                8450
   585              5265/4            342225/8

   600                -200                8000
   600                1800               72000
   600                -300                9000
   600                1200               36000
   600                -576                4032
   600                 625                4375

   602                 -98                5880
   602                3698              221880

   605                -484                7986
   605              3025/4             99825/8

   609                -441                8820
   609                 841               16820
   609                -567                5292
   609              5887/9           164836/27

   616                -392                9408
   616                 968               23232
   616                -567                5733
   616            54208/81         4932928/729

   624                -576                5760
   624                 676                6760

   629                -100                6210
   629          395641/100      245693061/1000

   630                -180                8100
   630                2205               99225
   630                -350                9800
   630                1134               31752

   644                -252                9408
   644             14812/9          1658944/27

   645                -605                5500
   645           83205/121        8320500/1331

   646                -578                6936
   646                 722                8664

   651                -363               10296
   651          141267/121       44075304/1331
   651                -525                8820
   651            20181/25         1695204/125

   656                -144                7680
   656             26896/9          4303360/27

   669                -507                9828
   669          149187/169       37595124/2197

   671                -121                7260
   671                3721              223260

   674                -576                8400
   674          113569/144       19874575/1728

   689                -400               11220
   689          474721/400      266318481/8000

   696                -600                8640
   696            20184/25         1453248/125

   700                -196                9408
   700                2500              120000

   702                 -27                3645
   702               18252             2464020
   702                -650                6760
   702            18954/25          985608/125

   720                 -80                6400
   720                6480              518400
   720                -576               10368
   720                 900               16200

   726                -242               10648
   726                2178               95832
   726                -363               11979
   726                1452               47916

   735                -441               12348
   735                1225               34300

   741                -507               12168
   741                1083               25992

   750                -150                9000
   750                3750              225000
   750                -500               12500
   750                1125               28125

   756                -108                7776
   756                5292              381024
   756                -567               11907
   756                1008               21168

   759                 -33                4356
   759               17457             2304324

   760                 -40                4800
   760               14440             1732800
   760                -684                8664
   760              7600/9           288800/27

   765                -324               12474
   765              7225/4            556325/8

   774                -578               12376
   774          299538/289      109031832/4913

   776                -576               12480
   776              9409/9           611585/27

   791                -784                2940
   791            12769/16           191535/64

   792                  -8                2240
   792               78408            21954240

   798                 -98                7840
   798                6498              519840

   805                  -5                1800
   805              129605            46657800

   806                -468               14196
   806             12493/9          1136863/27

   813                -363               13860
   813          220323/121       92535660/1331

   814                -275               12705
   814            60236/25        13914516/125

   840                 -56                6272
   840               12600             1411200
   840                -140                9800
   840                5040              352800
   840                -336               14112
   840                2100               88200
   840                -360               14400
   840                1960               78400
   840                -600               14400
   840                1176               28224
   840                -735               11025
   840                 960               14400

